Date,Bajaj,TCS,TVS,Infosys,Eicher,Hero
2015-01-01,2454.1,2548.2,276.85,1975.8,15239.15,3107.3
2015-01-02,2453.5,2570.85,267.8,2013.45,15065.55,3097.75
2015-01-05,2460.15,2537.9,271.2,1996.6,15133.55,3118.65
2015-01-06,2440.35,2446.55,268,1956.85,14753.1,3011.8
2015-01-07,2447.2,2416.8,278.55,1964.8,14945.55,2977.1
2015-01-08,2450.05,2443.85,295.8,1974.55,14877.8,2984.45
2015-01-09,2381.5,2512.2,296.7,2073.6,14727.1,2993.15
2015-01-12,2333.25,2512.05,300.65,2114.75,14871.85,2936.2
2015-01-13,2326.25,2498.3,308.45,2087.25,14800.7,2893.7
2015-01-14,2363.65,2518.15,307.5,2128.8,14831.2,2905.2
2015-01-15,2417.95,2545,315.2,2133.95,15122.6,2950.25
2015-01-16,2420.05,2531.9,319.4,2114.15,15330.5,2896.85
2015-01-19,2411.3,2509.75,308.85,2102.4,15466.1,2841.75
2015-01-20,2411.05,2499.55,309.05,2122.35,15468.85,2827.7
2015-01-21,2442,2511.35,300.85,2165.1,15360.75,2876.5
2015-01-22,2438.9,2512.75,300.65,2195.7,15286.35,2838.15
2015-01-23,2442.2,2501.7,306.15,2214.05,15186.1,2859.65
2015-01-27,2417.55,2502.8,308.15,2136,16086.3,2856.7
2015-01-28,2396.9,2534.7,312,2145.1,16340.6,2865.45
2015-01-29,2402.7,2541.35,310.15,2142.9,16455.9,2875.4
2015-01-30,2389.35,2481,308.15,2142.75,16303.5,2869.55
2015-02-02,2347.8,2512.8,286.25,2134.35,16589.6,2834.4
2015-02-03,2260.1,2554.8,285.6,2120.35,16320.1,2812.35
2015-02-04,2247.55,2514,294.3,2142.05,15927.65,2829.9
2015-02-05,2243.05,2551.9,293.1,2193.6,15813.75,2847.05
2015-02-06,2228.25,2576,292.9,2229.35,15584.55,2779.5
2015-02-09,2267.55,2515.15,294.45,2250.2,15113.9,2728.5
2015-02-10,2266.5,2442.95,294.85,2280.3,15188.45,2720.65
2015-02-11,2291.95,2460.15,301.2,2287.2,16134.6,2752.45
2015-02-12,2260.65,2462.8,304.95,2315.45,16407.15,2805.35
2015-02-13,2261.75,2538.65,307.45,2296.4,16242,2852.5
2015-02-16,2261.7,2585.25,302.4,2278.5,16109.45,2806.25
2015-02-18,2240.65,2633.9,301.25,2295.75,16938,2663.45
2015-02-19,2223.4,2679.7,294.85,2326.6,16678.4,2667.2
2015-02-20,2209.3,2674.85,295.3,2284.3,16373,2659.85
2015-02-23,2184.75,2695.05,289.4,2270.7,16004.9,2646.8
2015-02-24,2191.95,2707.15,269.8,2278.15,15813.3,2651.2
2015-02-25,2180.8,2671.3,271.05,2318.05,15612.65,2625.55
2015-02-26,2134.95,2656.35,270.5,2259.5,15213.8,2625.65
2015-02-27,2150.45,2663.75,281.7,2266.35,15808.05,2670.35
2015-02-28,2161.8,2675.3,277.95,2294.85,16226.6,2682.65
2015-03-02,2074.75,2670.15,271.95,2291.45,16515.85,2624.75
2015-03-03,2116.15,2774.7,293.2,2297.35,15891.3,2636.95
2015-03-04,2122.1,2743.4,288.8,2272.6,16050.15,2621.4
2015-03-05,2120.35,2696.35,291.85,2251.7,15996,2608.1
2015-03-09,2113.1,2643.15,286.55,2190.55,15692.35,2599.65
2015-03-10,2128.95,2642.8,294.9,2200.1,15963.7,2620.55
2015-03-11,2099,2609.35,285.4,2183.6,16045.85,2617
2015-03-12,2077.85,2619,289.75,2217.8,16316.4,2642.65
2015-03-13,2022.9,2581.05,277.65,2216.45,15879.3,2609.5
2015-03-16,2030.25,2565.35,274.15,2267,15803.25,2629.65
2015-03-17,2045.65,2580.9,283.25,2241.95,15935.7,2652.45
2015-03-18,2034.55,2560.7,278.75,2230.2,16043.45,2674.05
2015-03-19,2024.4,2594.4,273,2229.9,16079.95,2665.05
2015-03-20,2021.35,2609.65,268.4,2258.95,16002,2614.8
2015-03-23,2032.75,2610.55,266.2,2232.4,15843.2,2638
2015-03-24,2027.9,2593.55,259.7,2212.1,15513.65,2607.8
2015-03-25,2017.85,2573.1,259.1,2217.7,15551.25,2595.6
2015-03-26,2001.75,2513.35,266.05,2144.45,15584.75,2608.05
2015-03-27,2017.15,2516.2,271.55,2201.95,15471.95,2576.75
2015-03-30,2023.75,2557.25,266.25,2229.8,16019.7,2636.55
2015-03-31,2017.35,2547.05,263.75,2216.6,15890.2,2642.6
2015-04-01,2018.65,2543.4,255.15,2172.25,16028.4,2655.6
2015-04-06,2031.35,2546,252.2,2177.2,15763.7,2671.8
2015-04-07,2093,2586.1,255.4,2161.25,15950.4,2640
2015-04-08,2104.75,2644.35,251.15,2200.8,16501,2605.1
2015-04-09,2097.25,2661.15,250.7,2211.4,16338.65,2610
2015-04-10,2100.6,2651.95,256.75,2233.3,16206.35,2584.25
2015-04-13,2100.45,2650.25,255.15,2239,16054.1,2580.65
2015-04-15,2077.8,2624.7,251.4,2213.2,15861.8,2523.85
2015-04-16,2086.7,2585.2,244.65,2191.1,15837.45,2428.85
2015-04-17,2065.7,2476.2,244.6,2181.95,15327.25,2410.15
2015-04-20,2018.5,2430.65,233.75,2133.25,14762.5,2314.7
2015-04-21,1992.95,2426.85,237.6,2144.4,14320.6,2329.45
2015-04-22,1988.5,2447.9,237.95,2138.45,14377.3,2408.6
2015-04-23,1991.4,2456.85,232.9,2122.55,14774.35,2372.55
2015-04-24,1996.85,2496.9,232.1,1996.25,14710.8,2352.55
2015-04-27,1990.55,2500.3,228.25,1986,14784.95,2324.05
2015-04-28,1990.55,2494.55,227.55,1961.35,15165.15,2356.35
2015-04-29,1978.1,2485.65,237.35,1961.6,15228.4,2372.85
2015-04-30,1949.4,2466.65,235.6,1942.4,15217.85,2329.45
2015-05-04,2093.7,2479.1,249.35,1994.3,15337.55,2386
2015-05-05,2063.35,2519.25,240.4,1966.75,15552.05,2357.7
2015-05-06,2020.25,2462.85,226,1922.5,15064.7,2325.95
2015-05-07,2067,2543.3,216.15,1942.8,14796.2,2354.1
2015-05-08,2129.35,2530.7,220.85,1958,15789,2301.55
2015-05-11,2182.1,2555.8,227.2,1992,16865.3,2384.2
2015-05-12,2128.95,2521.2,222.45,1949.6,17121,2459.9
2015-05-13,2125.2,2519.95,219.8,1955.95,18062.7,2502.1
2015-05-14,2165,2499.95,224.15,1934.55,18190.25,2529.95
2015-05-15,2181.85,2509.65,221.4,1959.75,18707,2528.4
2015-05-18,2221.95,2519.35,224.15,1991.75,18618.15,2520.6
2015-05-19,2199.25,2511.95,222,2018.15,18275.85,2575.1
2015-05-20,2150.5,2557.55,220.2,2044.7,18510.45,2579.25
2015-05-21,2299.75,2557.65,229.95,2043.35,18428.3,2602.5
2015-05-22,2310.5,2619.55,227.35,2041.8,18669.8,2600.9
2015-05-25,2301.85,2601.4,230.15,2018,19173,2586.85
2015-05-26,2315.5,2606.35,234.8,2009.3,18945.2,2616.05
2015-05-27,2306.4,2616.55,235.95,1969.05,18353.85,2605.05
2015-05-28,2302.65,2609.95,236.1,2014.3,17972.6,2641.95
2015-05-29,2315,2610.6,237.95,2022.4,18713.8,2696
2015-06-01,2336.3,2616.4,236,2045.7,18785.25,2709.7
2015-06-02,2269.1,2600.45,225.9,2008.8,18138.5,2607.85
2015-06-03,2240.8,2610.75,221.4,2023.1,18209.75,2578.05
2015-06-04,2216.2,2606.2,226.55,2028.05,17182.35,2548.4
2015-06-05,2199.35,2572.35,223.5,2012.1,17390.05,2576.85
2015-06-08,2221.3,2578.65,219.1,2000.25,17283.6,2519.2
2015-06-09,2185.85,2558.1,218.8,1992.55,17099.3,2501.65
2015-06-10,2253.1,2602.05,224,2026.2,17612.45,2516.25
2015-06-11,2207.55,2571,226.5,2001.85,17234.35,2503.65
2015-06-12,2285.55,2512.05,225.1,1976.65,17399.45,2506.8
2015-06-15,2334.3,2511.8,228.15,991.1,18043.7,2509.25
2015-06-16,2391.35,2511.05,228.45,999.45,18462.8,2543.9
2015-06-17,2368.05,2514.95,231.8,995.8,19297.45,2525.6
2015-06-18,2397.35,2528.55,231.9,1000.9,19482.2,2523.9
2015-06-19,2405.6,2551.1,239.85,996.75,19471.15,2551.7
2015-06-22,2425.4,2595.7,244.9,1024.4,19397.3,2580.6
2015-06-23,2412.45,2577.7,242.85,1001.15,19275.75,2523.2
2015-06-24,2395,2568.4,240.35,995.1,19113.6,2521.15
2015-06-25,2506.25,2551.75,238.9,991.15,19505.25,2552.05
2015-06-26,2540.15,2594.05,245.1,1006.1,19526.65,2547
2015-06-29,2550.6,2593.55,241.6,990.25,19301.65,2538.45
2015-06-30,2535.65,2552.2,243.75,985.35,19578.15,2524.3
2015-07-01,2523.6,2591.8,245.55,997.7,20338.1,2518.8
2015-07-02,2565.8,2580.85,257.25,988.15,21238.65,2532.85
2015-07-03,2586.15,2604.8,257.5,989.95,20253.8,2577.8
2015-07-06,2595.35,2632.8,264.4,983.5,20359.5,2612.4
2015-07-07,2606.25,2619.05,270.15,982.05,20367.15,2562.5
2015-07-08,2573.9,2594.05,265,957.2,20476.7,2552.95
2015-07-09,2513.95,2521.4,259.25,937.7,20650,2605.4
2015-07-10,2470.9,2471.9,256.95,937,20765.8,2572.5
2015-07-13,2497.45,2508.6,270.65,950.05,21171.05,2600.65
2015-07-14,2499.05,2499.5,266.3,970.1,20761.7,2640.2
2015-07-15,2532.45,2546.25,268.25,982.65,20734.35,2660.1
2015-07-16,2544.25,2538.15,266.55,987.8,21071.3,2650
2015-07-17,2527.25,2559.35,263.35,1002,21084.2,2649.8
2015-07-20,2519.55,2579.55,263.8,1001.9,21269.45,2660.75
2015-07-21,2544.6,2562.85,257.95,1112.65,21336.55,2685.85
2015-07-22,2619.1,2528.1,264,1102.6,21164,2707.7
2015-07-23,2487.75,2487.95,263.35,1098.85,20528.85,2714.3
2015-07-24,2497.45,2503.75,251.45,1089.35,20097.1,2738.2
2015-07-27,2507.7,2496.9,241.55,1065,19343.75,2605.65
2015-07-28,2476.05,2501.5,232.55,1063.5,19481.9,2531.55
2015-07-29,2495.15,2508.1,235,1085.2,19265.65,2566.25
2015-07-30,2523.8,2480.95,235.95,1069.1,19057.65,2587.6
2015-07-31,2519.15,2510,237.95,1078.05,19070.05,2674.45
2015-08-03,2504.4,2507.95,230.1,1079.05,19105.2,2697.85
2015-08-04,2510.55,2509.3,233.35,1059.8,20158.35,2624.25
2015-08-05,2569.7,2541.65,234.65,1086.55,20548,2660.4
2015-08-06,2575.45,2574.3,236.85,1089.45,20544.1,2652.65
2015-08-07,2537.85,2551.7,239.15,1095.6,20615.85,2660.5
2015-08-10,2556.3,2570.8,234.15,1081.95,20417.15,2704.85
2015-08-11,2541.75,2603.05,223.55,1104.35,20165,2678.7
2015-08-12,2462.1,2671.4,223.45,1141.75,19871.85,2635.35
2015-08-13,2489.05,2637.4,225.55,1156.85,19895.25,2643.85
2015-08-14,2558.8,2693.65,230,1149,20601.4,2714
2015-08-17,2529.95,2684.75,229.8,1141.85,20671.2,2653.5
2015-08-18,2522,2734.6,230.25,1163.8,20950.6,2641.85
2015-08-19,2541.25,2731.4,229,1175.05,21243.25,2690
2015-08-20,2492.1,2691.2,231.8,1138.2,21042.4,2633.9
2015-08-21,2407.35,2675.1,228.75,1150.6,20482.05,2559.9
2015-08-24,2188.45,2579.2,213.55,1092.65,18571.75,2478.95
2015-08-25,2204.65,2567.35,223.8,1086.5,18844.35,2477.5
2015-08-26,2244.15,2576.75,227.45,1065.35,18581.65,2391.95
2015-08-27,2189.3,2577.6,226.7,1084.1,18814.35,2380.7
2015-08-28,2269.2,2570.65,220.4,1110.7,18903.1,2400.95
2015-08-31,2254.9,2565.25,223.45,1095.2,18993.35,2397.35
2015-09-01,2251.75,2538.8,216.75,1089.65,18258.9,2385.3
2015-09-02,2207.35,2593.2,220.25,1100.3,18342.9,2343.25
2015-09-03,2246.85,2605.25,221.05,1100.65,18365.15,2329.95
2015-09-04,2207.85,2549.45,223,1073.8,18146.65,2292.55
2015-09-07,2192.75,2539.5,218.05,1059.6,17449.95,2279.8
2015-09-08,2209.8,2542.1,220.45,1059.3,17257.55,2317.3
2015-09-09,2269.05,2550.65,225.9,1088.5,17939.5,2347.75
2015-09-10,2302.45,2542.35,228.2,1080.35,18472.35,2343.95
2015-09-11,2318.5,2545.5,232.6,1090.7,18892.2,2342.05
2015-09-14,2310.5,2550.75,231.95,1097.75,18813.1,2348.6
2015-09-15,2295.2,2543.15,231,1098.4,18557.6,2310.6
2015-09-16,2345.65,2551.15,232.55,1101.5,17968.35,2363
2015-09-18,2294.15,2554.15,235.65,1104.75,18215.9,2428.55
2015-09-21,2303.05,2550.7,233.6,1104.65,18459.55,2424.8
2015-09-22,2258.15,2526.35,229.85,1105.5,18337.9,2386.1
2015-09-23,2240.25,2534.05,230.05,1116.65,18250.35,2401.3
2015-09-24,2283.1,2575.6,235.8,1141.4,17761.8,2380.65
2015-09-28,2275.9,2590.35,231.65,1108.2,17298.6,2350.75
2015-09-29,2251.75,2590.2,230.3,1121.1,17468.6,2331.7
2015-09-30,2309.75,2587.7,230.2,1160.45,17791.2,2395.65
2015-10-01,2313.85,2639.7,229.6,1173.25,18270.55,2413.35
2015-10-05,2384.4,2713.45,229,1180.5,18763.6,2501.65
2015-10-06,2377.6,2695.7,230.2,1154.85,18670.05,2532.55
2015-10-07,2452.3,2655.1,241.3,1133.15,18900.4,2539.2
2015-10-08,2435.2,2634.75,240.6,1132.45,18680.8,2539.6
2015-10-09,2444.15,2629.85,238.6,1167.85,18319.75,2565.25
2015-10-12,2425.35,2592.4,238.65,1122.5,17981.1,2547.65
2015-10-13,2460.75,2597.4,242.15,1098.65,17816.25,2538.85
2015-10-14,2439.6,2483.4,242.05,1097.45,18169,2505.75
2015-10-15,2451.8,2468.65,242.6,1097,18318.8,2567.45
2015-10-16,2458.45,2475.95,247.55,1093.75,18283.05,2586.85
2015-10-19,2459.75,2486.85,246.95,1112.2,18249.4,2613.55
2015-10-20,2438.3,2526.7,245.85,1125.35,18145.85,2605.05
2015-10-21,2518.25,2525.5,252.15,1137.6,18199.25,2619.05
2015-10-23,2513.85,2536.2,251.5,1148.55,18144.6,2594.95
2015-10-26,2567.55,2535.2,244.05,1151.4,17942.7,2619.3
2015-10-27,2582.25,2529.8,276.15,1148.45,17688.25,2620.4
2015-10-28,2568.8,2524.65,271.8,1151.35,17385.4,2623.55
2015-10-29,2575.15,2496.15,263.95,1142.7,17445.2,2625.75
2015-10-30,2549.6,2497.3,265.4,1136.05,17761.9,2585
2015-11-02,2432.15,2511.2,274.15,1131.55,17971.35,2549.1
2015-11-03,2421.35,2542.6,287.5,1143,18003.25,2583.75
2015-11-04,2448.75,2529.45,285.6,1137.05,17805.3,2614.4
2015-11-05,2414.25,2490.75,281.2,1122.45,17693,2638.6
2015-11-06,2422.9,2505.75,282.85,1138.05,16692.75,2632.9
2015-11-09,2409,2475.05,290.65,1133.95,15933.4,2618.5
2015-11-10,2453.2,2461.7,296.25,1106.4,15876.55,2657.4
2015-11-11,2451.05,2470.55,297,1109.15,16049.3,2644.4
2015-11-13,2377,2397.3,296.3,1100.45,15616.25,2610.95
2015-11-16,2383.5,2374.9,296.25,1080.2,15294.8,2611.45
2015-11-17,2363.85,2390.5,294.15,1061.1,15489.95,2597.8
2015-11-18,2345.65,2351.9,286.3,1019.85,15875.8,2571.85
2015-11-19,2423.65,2363.2,294.4,1047.3,16165.6,2591.35
2015-11-20,2468.5,2395.55,293.45,1052.9,16408.95,2563.65
2015-11-23,2523.2,2391.7,294.25,1053.5,16757.05,2637.25
2015-11-24,2478.85,2370.1,290.45,1041,16649.3,2645.8
2015-11-26,2462.4,2345.15,298.2,1053.2,16514.3,2680.8
2015-11-27,2448.85,2352.65,305.45,1066.3,16567.95,2704.15
2015-11-30,2481.55,2365.25,306.9,1088.45,16723.4,2702.65
2015-12-01,2461.2,2362.15,304,1076.65,16232.25,2677.75
2015-12-02,2499.4,2365.25,289.2,1060.2,16343.75,2675.85
2015-12-03,2481.1,2350.85,283.3,1056,16644.15,2618.35
2015-12-04,2469.15,2330.15,283.75,1047.8,16415.2,2617.15
2015-12-07,2449,2324.1,281.8,1045.85,16227.75,2621.35
2015-12-08,2462.45,2329.5,275.15,1044.95,16326.05,2602.85
2015-12-09,2390.45,2365.7,270.4,1029.35,15723.85,2546.8
2015-12-10,2441.45,2380.75,278.55,1046.4,16032.05,2545.6
2015-12-11,2411.9,2387.25,274.05,1052.35,15561.8,2523.3
2015-12-14,2409.75,2377.45,275.05,1069.5,15365.2,2537.45
2015-12-15,2435.45,2375.2,285.05,1076.9,15793.65,2563.85
2015-12-16,2451.65,2407.1,281.75,1095.4,16048.4,2593.45
2015-12-17,2524.2,2440.35,287.3,1106.95,16235.7,2649.75
2015-12-18,2481.95,2416.45,286.1,1085.95,16175.9,2641.6
2015-12-21,2489.25,2440.95,289.05,1102,16030.45,2695.8
2015-12-22,2476.1,2405.95,288.05,1083.6,16084.45,2669
2015-12-23,2475.6,2420.4,290.1,1098,16195.3,2675.2
2015-12-24,2484.8,2433.35,285,1095.85,16184.55,2689.7
2015-12-28,2487.45,2458.5,285.5,1101.65,16575.1,2702.25
2015-12-29,2531.15,2451.95,293.3,1103.75,16664.25,2734.25
2015-12-30,2515.5,2418.4,290.2,1086.05,16527.35,2711.65
2015-12-31,2533.5,2439.2,289.65,1104.55,16855.2,2695.25
2016-01-01,2520.05,2416.25,287.1,1103.15,17365.25,2687.85
2016-01-04,2488.15,2375.5,286.45,1080.6,17506.25,2645.5
2016-01-05,2497.05,2350.35,286.95,1074.8,17169.5,2621.05
2016-01-06,2485.5,2381.2,286.55,1069.45,17550.15,2581.75
2016-01-07,2419.25,2370.05,277.6,1051.25,17066.3,2513.15
2016-01-08,2376.85,2397.25,284.6,1062.65,17222.85,2489
2016-01-11,2359.8,2363,285.85,1057.1,17257.2,2503.2
2016-01-12,2342.45,2324.05,289.7,1050.05,17048.95,2469.55
2016-01-13,2364,2280.3,288.1,1082.35,17067.4,2470.75
2016-01-14,2362.15,2278.95,281.4,1128.7,16997.9,2433.1
2016-01-15,2335.2,2263.5,277.65,1140.2,16297.8,2425.35
2016-01-18,2249.6,2282.45,274,1131.95,15453.9,2431.2
2016-01-19,2266.6,2279,282.55,1139.1,15794,2482.95
2016-01-20,2276.25,2277.6,274.1,1121.65,15551.5,2488.05
2016-01-21,2274,2261.2,274.2,1136.5,15556,2473.5
2016-01-22,2317.6,2295.25,285.05,1135.9,16464.95,2586.05
2016-01-25,2323.15,2305.95,288,1137.65,16426.1,2520.8
2016-01-27,2301.7,2319.6,289.85,1138.35,16211.05,2482.05
2016-01-28,2269.75,2330.9,291.65,1131.35,15972.6,2448.55
2016-01-29,2341.9,2391.2,291.5,1164.85,16546.75,2562.8
2016-02-01,2328.1,2402.2,295.35,1171.3,17057.05,2535
2016-02-02,2362.55,2401.5,293.1,1174.8,17197.15,2521.8
2016-02-03,2348.05,2417.05,287.45,1158.15,16773.6,2484.7
2016-02-04,2310.05,2417.45,281.35,1179.9,16940.65,2510.5
2016-02-05,2361.1,2425.85,288.4,1174.95,18128.45,2578.05
2016-02-08,2348.7,2368.5,287.05,1149.1,18374.2,2568.1
2016-02-09,2377.65,2281.45,285.75,1109.3,18168.8,2579.65
2016-02-10,2371.05,2270.05,286.4,1110.15,17897.9,2547.45
2016-02-11,2331.15,2196.05,277.95,1081.15,17626.95,2498.45
2016-02-12,2302.95,2226.5,276.15,1083.5,17993.2,2486.5
2016-02-15,2343.25,2269.55,285.05,1091.35,18754.05,2515.7
2016-02-16,2334.75,2267.75,276.7,1081,18697.7,2508.45
2016-02-17,2356.9,2278,281.9,1095.45,18800.85,2523.9
2016-02-18,2405.5,2315.3,284.9,1122.7,18721.5,2620.95
2016-02-19,2457,2320.2,287.45,1125.55,18625.4,2704.85
2016-02-22,2475.3,2314.2,286.7,1125.3,18927.1,2705.95
2016-02-23,2396.25,2265.1,280.3,1123.95,18968.7,2660.3
2016-02-24,2344.65,2218.65,270.35,1125.4,19100.6,2623.45
2016-02-25,2317.8,2212.25,267.6,1111.25,18875.65,2623.3
2016-02-26,2236.85,2214.7,264.55,1121.05,18857.3,2557.15
2016-02-29,2200.4,2181.9,267.7,1083.75,18894.8,2499.65
2016-03-01,2260,2275,283.7,1124.5,19183,2667
2016-03-02,2233.6,2319.55,287.6,1156.25,19274.65,2807.75
2016-03-03,2279.25,2377.3,286.95,1169.15,19323.25,2824.75
2016-03-04,2304.7,2359.05,288.2,1170.55,19245.8,2835.8
